Value,Label
4,Afghanistan
6,Albania
7,Algeria
8,American Samoa
9,Andorra
10,Angola
12,Argentina
13,Armenia
14,Asia/Pacific Region
15,Australia
16,Austria
17,Azerbaijan
18,Bangladesh
19,Barbados
21,Belarus
22,Belgium
23,Belize
24,Bermuda
25,Bolivia
26,Bosnia and Herzegovina
27,Brazil
28,British Indian Ocean Territory
29,Bulgaria
30,Cambodia
31,Cameroon
32,Canada
33,Cayman Islands
34,Chennai
35,Chile
36,China
37,CN
38,Colombia
39,Costa Rica
40,Cote D'Ivoire
41,Croatia
42,Cuba
43,Curaçao
44,Cyprus
45,Czech Republic
46,Czechia
47,Denmark
48,Dominican Republic
49,Ecuador
50,Egypt
51,El Salvador
53,Estonia
54,Ethiopia
55,Europe
56,Finland
57,France
58,Georgia
59,Germany
60,Ghana
61,Greece
62,Guam
63,Guatemala
64,Guinea
65,Haiti
66,Honduras
67,Hong Kong
68,Hungary
69,Iceland
71,India
73,Indonesia
75,Iran
76,Iraq
77,Ireland
78,Israel
79,Italy
80,Jamaica
81,Japan
82,Jordan
83,Kazakhstan
84,Kenya
86,Kosovo
87,Kuwait
88,Kyrgyzstan
89,Latvia
90,Lebanon
91,Libya
92,Lithuania
93,Luxembourg
94,Macao
95,Macedonia
97,Madagascar
98,Malaysia
99,Maldives
100,Malta
101,Mauritius
102,Mexico
103,Moldova
104,Mongolia
105,Montenegro
106,Morocco
108,Myanmar
110,Namibia
111,Nepal
113,Netherlands
114,New Zealand
115,Nigeria
117,North Korea
118,Norway
119,Oman
120,Pakistan
121,Palestine
124,Panama
125,Papua New Guinea
126,Paraguay
127,Peru
128,Philippines
129,Poland
130,Portugal
131,Puerto Rico
132,Qatar
134,Republic of Lithuania
135,Republic of Moldova
136,Romania
138,Russian Federation
139,Saudi Arabia
140,Senegal
141,Serbia
142,Singapore
144,Slovak Republic
145,Slovenia
146,Somalia
147,South Africa
148,South Korea
149,Spain
150,Sri Lanka
151,Sudan
152,Swaziland
153,Sweden
154,Switzerland
155,Syrian Arab Republic
156,Taiwan
157,Tajikistan
158,Tanzania
159,Thailand
160,Togo
161,Tunisia
162,Turkey
163,Uganda
164,Ukraine
165,United Arab Emirates
166,United Kingdom
167,United States
168,Uruguay
171,Uzbekistan
172,Venezuela
173,Vietnam
174,Yemen
175,Zimbabwe
